ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
11,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084405,8853237000143,ກະປິ,010,ເຄື່ອງປຸງ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ຊນ,ອັນ",0.0,0.0,-,-
12,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121204,9921204,ສັນຄໍໝູ,003,ຊີ້ນສົດ,-0.31,8.9,9.293,0.0,0.0,0.701,0.0,0.0,0.0,0.0,ກິໂລກຣາມ,95000.0,0.0,REACD00001,สินค้าขาด/เกิน จากการตรวจนับ
13,CP Fresh Shop ດອນໜູນ,2025-05-01,2210440043,8562104400435,ເອິກໄກ່ເນື້ອຕິດຫນັງອານາໄມ,014,ໄກ່ແພັກແບັນ,5.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201,ແພັກ,57000.0,182457.0,-,-
14,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121209,9921209,ຊິ້ນບ່າໄຫລ່ໝູ (ຊິ້ນຂາໜ້າ),003,ຊີ້ນສົດ,1.83,0.0,1.898,0.0,0.0,0.066,0.0,0.0,0.0,0.0,ກິໂລກຣາມ,86000.0,0.0,REACD00001,สินค้าขาด/เกิน จากการตรวจนับ
15,CP Fresh Shop ດອນໜູນ,2025-05-01,800000107278,8850718819478,ເລ່ລົດໂມລິສະລາຍຖົງ44g,013,ເຂົ້າໜົມ,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,"ຊນ,ອັນ",11313.0,147069.0,-,-
16,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084237,45251462,ຜັກກາດກວາງຕຸ້ງ 300g,002,ຜັກປອດສານພິດ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ຊນ,ອັນ",0.0,0.0,-,-
17,CP Fresh Shop ດອນໜູນ,2025-05-01,800000122702,-,ເຕົາຮູ້ແຜ່ນ,008,ເຄື່ອງແຫ້ງ,103.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,"ຊນ,ອັນ",6475.0,653975.0,-,-
18,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084473,705604960759,ເກືອກາກວຽນໄອໂອດີນເວີນຄຳ 1ກິໂລ,010,ເຄື່ອງປຸງ,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,"ຊນ,ອັນ",12500.0,362500.0,-,-
19,CP Fresh Shop ດອນໜູນ,2025-05-01,800000141549,8859066014276,ຊອດຫອຍນາງລົມຕຸກ1000g,010,ເຄື່ອງປຸງ,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,"ຊນ,ອັນ",21938.0,263256.0,-,-
20,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121618,8562551216184,ຊີ້ນໝູສາມຊັ້ນຕັດເສັ້ນ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,ແພັກ,49000.0,392000.0,-,-
21,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121621,8562551216214,ກະດູກອ່ອນໝູຕັດຕ່ອນ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,ແພັກ,59000.0,826000.0,-,-
22,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101356,8850016635169,TVIຄອມໂບຊີສບັນລວມ 500g,007,ອາຫານແຊ່ແຂງ,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,"ຊນ,ອັນ",53000.0,1537000.0,-,-
23,CP Fresh Shop ດອນໜູນ,2025-05-01,800000122680,8859730600408,ຜົ້ງ​ປີງ​ຈີນ100g,010,ເຄື່ອງປຸງ,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"ຊນ,ອັນ",9231.0,553860.0,-,-
24,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101499,8859228200691,SunValleyໄກ່ປ໋ອບສະໄປຊີ1kg,007,ອາຫານແຊ່ແຂງ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,ຖົງ,72200.0,722000.0,-,-
25,CP Fresh Shop ດອນໜູນ,2025-05-01,800000086217,8859730600040,ແຈ່ວເສສວນຍົກໂປ້150g,010,ເຄື່ອງປຸງ,126.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,"ຊນ,ອັນ",10600.0,1293200.0,-,-
26,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084459,8854334002498,ຟ້າໄທນໍ້າໃສ 350ມລ,010,ເຄື່ອງປຸງ,44.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,"ຊນ,ອັນ",14513.0,595033.0,-,-
27,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121205,9921205,ສັນນອກໝູ,003,ຊີ້ນສົດ,10.74,12.08,4.594,0.0,0.0,0.0,0.0,0.0,0.0,18.23,ກິໂລກຣາມ,87000.0,1586010.0,-,-
28,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121619,8562551216191,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,ແພັກ,71253.0,1852578.0,-,-
29,CP Fresh Shop ດອນໜູນ,2025-05-01,2255120421,8858984833303,ໄສ້ກອກແຟ້ງ 300 ກຣາມ,012,ອາຫານສຳເລັດຮູບ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ແພັກ,0.0,0.0,-,-
30,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084318,8859268100647,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g,007,ອາຫານແຊ່ແຂງ,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,"ຊນ,ອັນ",42800.0,-42800.0,-,-
31,CP Fresh Shop ດອນໜູນ,2025-05-01,26020202,8851425210022,ໄກ່ຈໍ້ 500 ກັມ,012,ອາຫານສຳເລັດຮູບ,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,ຖົງ,58003.0,1392072.0,-,-
32,CP Fresh Shop ດອນໜູນ,2025-05-01,800000103199,8850620888104,ນໍ້າປາກາປາມຶກແກ້ວ 700ມລ,010,ເຄື່ອງປຸງ,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"ຊນ,ອັນ",18275.0,438600.0,-,-
33,CP Fresh Shop ດອນໜູນ,2025-05-01,800000103186,8801073113428,ຫມີ່ເກົາຫລີແດງຫໍ່,012,ອາຫານສຳເລັດຮູບ,-15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,"ຊນ,ອັນ",17625.0,-282000.0,-,-
34,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084206,8851959132678,ໝາກ​ນາວ​ໂຊ​ດາ,009,ເຄື່ອງດື່ມ,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"ຊນ,ອັນ",8167.0,73503.0,-,-
35,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084369,8852014020572,pfpເຕົ້າຫູ້ປາລູກເຕົາ 500g,007,ອາຫານແຊ່ແຂງ,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"ຊນ,ອັນ",36000.0,1116000.0,-,-
36,CP Fresh Shop ດອນໜູນ,2025-05-01,800000123438,2777000345674,ຜົງແຈ່ວປີ້ງຈີນ130g,010,ເຄື່ອງປຸງ,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"ຊນ,ອັນ",20000.0,120000.0,-,-
37,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084495,-,ແຈ່ວສຸກີ້ແມ່ທອນ 500g,010,ເຄື່ອງປຸງ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ຊນ,ອັນ",30000.0,0.0,-,-
38,CP Fresh Shop ດອນໜູນ,2025-05-01,2255120382,8858984833051,ຫມູປີ້ງ 10ໄມ້  550g,012,ອາຫານສຳເລັດຮູບ,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,ແພັກ,47003.0,2209141.0,-,-
39,CP Fresh Shop ດອນໜູນ,2025-05-01,800000107291,8850718819454,ເລ່ລົດດັງເດີມຖົງ,013,ເຂົ້າໜົມ,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"ຊນ,ອັນ",11313.0,101817.0,-,-
40,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084293,8850016072506,ປູອັດTVI 250ກຼາມ,007,ອາຫານແຊ່ແຂງ,68.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"ຊນ,ອັນ",22175.0,1286150.0,-,-
41,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101356,8850016635169,TVIຄອມໂບຊີສບັນລວມ 500g,007,ອາຫານແຊ່ແຂງ,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"ຊນ,ອັນ",53000.0,795000.0,-,-
42,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121281,9921281,ກະດູກຂໍ້,003,ຊີ້ນສົດ,20.26,0.0,5.697,0.0,0.0,0.0,0.0,0.0,0.0,14.567,ກິໂລກຣາມ,31000.0,451577.0,-,-
43,CP Fresh Shop ດອນໜູນ,2025-05-01,800000122680,8859730600408,ຜົ້ງ​ປີງ​ຈີນ100g,010,ເຄື່ອງປຸງ,56.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"ຊນ,ອັນ",9231.0,498474.0,-,-
44,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101892,774754335558288,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ),801,ນໍ້າແຈ່ວ,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,"ຊນ,ອັນ",15000.0,285000.0,-,-
45,CP Fresh Shop ດອນໜູນ,2025-05-01,800000122681,6971528230016,ເສັ້ນດຳເປັນມັດ500g,008,ເຄື່ອງແຫ້ງ,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"ຊນ,ອັນ",22500.0,225000.0,-,-
46,CP Fresh Shop ດອນໜູນ,2025-05-01,800000141549,8859066014276,ຊອດຫອຍນາງລົມຕຸກ1000g,010,ເຄື່ອງປຸງ,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"ຊນ,ອັນ",21938.0,197442.0,-,-
47,CP Fresh Shop ດອນໜູນ,2025-05-01,800000103166,6975749658666,ເສັ້ນມັນດ້າງແດງ240g,008,ເຄື່ອງແຫ້ງ,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,"ຊນ,ອັນ",10000.0,980000.0,-,-
48,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101365,8858770730489,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg,007,ອາຫານແຊ່ແຂງ,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,"ຊນ,ອັນ",54584.0,1801272.0,-,-
49,CP Fresh Shop ດອນໜູນ,2025-05-01,800000106731,8858657101449,AFMໄສ້ກອກໄກ່500g,007,ອາຫານແຊ່ແຂງ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"ຊນ,ອັນ",46700.0,233500.0,-,-
50,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084495,-,ແຈ່ວສຸກີ້ແມ່ທອນ 500g,010,ເຄື່ອງປຸງ,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"ຊນ,ອັນ",30000.0,210000.0,-,-
51,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084224,-,ຕີນໄກ່ 1 kg,011,ໄກ່ - ໄຂ່,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,"ຊນ,ອັນ",42334.0,1185352.0,-,-
52,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084377,6970115986374,ແຈ່ວເສສວນຈີນງົວເຂັ້ມຂຸ່ມ 150g,012,ອາຫານສຳເລັດຮູບ,42.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,"ຊນ,ອັນ",19125.0,726750.0,-,-
53,CP Fresh Shop ດອນໜູນ,2025-05-01,800000141350,8850718819485,ເລ່ລົດບາບີຄີວ44g,013,ເຂົ້າໜົມ,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,"ຊນ,ອັນ",11709.0,245889.0,-,-
54,CP Fresh Shop ດອນໜູນ,2025-05-01,2255120338,8858984832849,ຫມູຍໍ່ຫນັງ A 500 g,012,ອາຫານສຳເລັດຮູບ,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,ແພັກ,37004.0,222024.0,-,-
55,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084279,8858828509548,ກະແລ້ມຖົ່ວດຳ,012,ອາຫານສຳເລັດຮູບ,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"ຊນ,ອັນ",8000.0,24000.0,-,-
56,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084310,-,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່),801,ນໍ້າແຈ່ວ,47.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"ຊນ,ອັນ",27000.0,648000.0,-,-
57,CP Fresh Shop ດອນໜູນ,2025-05-01,2210440043,8562104400435,ເອິກໄກ່ເນື້ອຕິດຫນັງອານາໄມ,014,ໄກ່ແພັກແບັນ,5.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201,ແພັກ,57000.0,182457.0,-,-
58,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084527,8850100004994,ໝີ່ໄວໄວຊ່ອງ ລົດດັ້ງເດີມ,008,ເຄື່ອງແຫ້ງ,-71.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,"ຊນ,ອັນ",3539.0,-268964.0,-,-
59,CP Fresh Shop ດອນໜູນ,2025-05-01,800000107278,8850718819478,ເລ່ລົດໂມລິສະລາຍຖົງ44g,013,ເຂົ້າໜົມ,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,"ຊນ,ອັນ",11313.0,147069.0,-,-
60,CP Fresh Shop ດອນໜູນ,2025-05-01,800000112182,8857122620669,ຊອດ​ຫອຍ​ຄົວ​ຕະ​ວັນ1kg,010,ເຄື່ອງປຸງ,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"ຊນ,ອັນ",20813.0,312195.0,-,-
61,CP Fresh Shop ດອນໜູນ,2025-05-01,2220354303,8850653335231,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3,011,ໄກ່ - ໄຂ່,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,ແຕະ,73000.0,219000.0,-,-
62,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121614,8562551216146,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,73.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,ແພັກ,52000.0,3848000.0,-,-
63,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121206,9921206,ສັນໃນໝູ ,003,ຊີ້ນສົດ,7.62,0.0,4.895,0.0,0.0,0.0,0.0,0.0,0.0,2.721,ກິໂລກຣາມ,93000.0,253053.0,-,-
64,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084460,8850144001027,best foods ມາຍ໋ອງເນສ 220ml,010,ເຄື່ອງປຸງ,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"ຊນ,ອັນ",32000.0,320000.0,-,-
65,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121204,9921204,ສັນຄໍໝູ,003,ຊີ້ນສົດ,4.81,19.09,9.491,0.0,0.0,0.0,0.0,0.0,0.0,14.405,ກິໂລກຣາມ,96000.0,1382880.0,-,-
66,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121619,8562551216191,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,ແພັກ,65500.0,720500.0,-,-
67,CP Fresh Shop ດອນໜູນ,2025-05-01,800000246312,8850210000039,ນ້ຳ​ມັນ​ອາ​ງຸ່ນ1ml,010,ເຄື່ອງປຸງ,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"ຊນ,ອັນ",36300.0,508200.0,-,-
68,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084522,8850403200406,ລ້ອນສາຍຝົນ 35ກຼາມ,008,ເຄື່ອງແຫ້ງ,-133.0,0.0,4.0,0.0,0.0,150.0,0.0,0.0,0.0,13.0,"ຊນ,ອັນ",3042.0,39546.0,REACD00001,สินค้าขาด/เกิน จากการตรวจนับ
69,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084473,705604960759,ເກືອກາກວຽນໄອໂອດີນເວີນຄຳ 1ກິໂລ,010,ເຄື່ອງປຸງ,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,"ຊນ,ອັນ",12500.0,475000.0,-,-
70,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084278,8858828509517,ກະແລ້ມກະທິ,012,ອາຫານສຳເລັດຮູບ,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,"ຊນ,ອັນ",8000.0,152000.0,-,-
71,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121620,8562551216207,ກະດູກຂ້າງໝູຕັດເສັ້ນ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,ແພັກ,60500.0,484000.0,-,-
72,CP Fresh Shop ດອນໜູນ,2025-05-01,2255120346,8858984833129,ຫມູທອດ 1000g,006,ຊີ້ນແພກແບຣນ,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,ແພັກ,68002.0,1088032.0,-,-
73,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121489,8562551214890,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ,006,ຊີ້ນແພກແບຣນ,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,ແພັກ,33750.0,168750.0,-,-
74,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121619,8562551216191,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,ແພັກ,65000.0,2015000.0,-,-
75,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084450,2777000041385,ນໍ້າແຈ່ວປີ້ງຈີນ 260ກຼາມ,010,ເຄື່ອງປຸງ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"ຊນ,ອັນ",20000.0,100000.0,-,-
76,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121204,9921204,ສັນຄໍໝູ,003,ຊີ້ນສົດ,7.63,10.52,4.595,0.0,0.0,0.0,0.0,0.0,0.0,13.559,ກິໂລກຣາມ,96000.0,1301664.0,-,-
77,CP Fresh Shop ດອນໜູນ,2025-05-01,800000252212,6926925000977,ເອິກເປັດລົມຄວນ1kg,007,ອາຫານແຊ່ແຂງ,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,"ຊນ,ອັນ",50500.0,858500.0,-,-
78,CP Fresh Shop ດອນໜູນ,2025-05-01,800000199232,8850157400107,ປາມຶກກອບຊົງເຄື່ອງ18g,013,ເຂົ້າໜົມ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"ຊນ,ອັນ",10213.0,10213.0,-,-
79,CP Fresh Shop ດອນໜູນ,2025-05-01,800000104157,8850016635251,ເປົາ​ທູ​ໂທນ​ໄສ້​ໄຂ່​ກຸ້ງ500g,007,ອາຫານແຊ່ແຂງ,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"ຊນ,ອັນ",52100.0,468900.0,-,-
80,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084534,6959661600019,ເສັ້ນດຳເສສວນຖົງ200g,008,ເຄື່ອງແຫ້ງ,4.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,"ຊນ,ອັນ",12667.0,418011.0,-,-
81,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084389,8859129166089,ຊີ້ນຫອຍແມງຜູ່ 1000ກຼາມ,007,ອາຫານແຊ່ແຂງ,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"ຊນ,ອັນ",36700.0,146800.0,-,-
82,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084503,8850464000267,ແປ້ງນົວ250ກຮາມ,010,ເຄື່ອງປຸງ,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,"ຊນ,ອັນ",14577.0,437310.0,-,-
83,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121211,9921211,ກະດູກແກງໝູ,003,ຊີ້ນສົດ,2.21,8.41,9.691,0.0,0.0,0.0,0.0,0.0,0.0,0.933,ກິໂລກຣາມ,35000.0,32655.0,-,-
84,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121229,9921229,ຊິ້ນໝູບົດ ,003,ຊີ້ນສົດ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ກິໂລກຣາມ,90000.0,0.0,-,-
85,CP Fresh Shop ດອນໜູນ,2025-05-01,2255121281,9921281,ກະດູກຂໍ້,003,ຊີ້ນສົດ,1.09,14.46,15.188,0.0,0.0,0.0,0.0,0.0,0.0,0.359,ກິໂລກຣາມ,31000.0,11129.0,-,-
86,CP Fresh Shop ດອນໜູນ,2025-05-01,800000126128,8851727003056,ຄອນເນ່ຖົງ48g,013,ເຂົ້າໜົມ,-5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,"ຊນ,ອັນ",12542.0,-87794.0,-,-
87,CP Fresh Shop ດອນໜູນ,2025-05-01,800000134386,05122024,NVສາມຊັ້ນສະໄລ500g,007,ອາຫານແຊ່ແຂງ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ຊນ,ອັນ",0.0,0.0,-,-
88,CP Fresh Shop ດອນໜູນ,2025-05-02,800000122702,-,ເຕົາຮູ້ແຜ່ນ,008,ເຄື່ອງແຫ້ງ,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,"ຊນ,ອັນ",6475.0,705775.0,-,-
89,CP Fresh Shop ດອນໜູນ,2025-05-02,800000084539,6973117800013,ເຕົາຮູ້ແຜ່ນ 120ກມ,008,ເຄື່ອງແຫ້ງ,-5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,"ຊນ,ອັນ",17667.0,-123669.0,-,-
90,CP Fresh Shop ດອນໜູນ,2025-05-02,2255120349,8858984832917,ໝູນຸ້ມໝັກພິກໄທດຳ 1000g,006,ຊີ້ນແພກແບຣນ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ແພັກ,60005.0,0.0,-,-
