ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
1,CP Fresh Shop ດອນໜູນ,2025-05-01,800000101365,8858770730489,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg,007,ອາຫານແຊ່ແຂງ,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"ຊນ,ອັນ",54584.0,764176.0,-,-
2,CP Fresh Shop ດອນໜູນ,2025-05-01,800000141329,8850718714933,ເລ່ລົດບາບີຄີວແພັກໃຫຍ່06ຖົງ,013,ເຂົ້າໜົມ,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"ຊນ,ອັນ",70250.0,281000.0,-,-
3,CP Fresh Shop ດອນໜູນ,2025-05-01,23003925,8935319710895,ນັກເກັດດາວ 300g,012,ອາຫານສຳເລັດຮູບ,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,ແພັກ,51997.0,727958.0,-,-
4,CP Fresh Shop ດອນໜູນ,2025-05-01,800000155539,10012025,ກ້ຽວ500g,007,ອາຫານແຊ່ແຂງ,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,"ຊນ,ອັນ",18000.0,918000.0,-,-
5,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084526,6923647220911,ສາຫຼ່າຍດຳ FUTAL,008,ເຄື່ອງແຫ້ງ,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,"ຊນ,ອັນ",7500.0,547500.0,-,-
6,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084534,6959661600019,ເສັ້ນດຳເສສວນຖົງ200g,008,ເຄື່ອງແຫ້ງ,4.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,"ຊນ,ອັນ",12667.0,418011.0,-,-
7,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084495,-,ແຈ່ວສຸກີ້ແມ່ທອນ 500g,010,ເຄື່ອງປຸງ,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"ຊນ,ອັນ",30000.0,180000.0,-,-
8,CP Fresh Shop ດອນໜູນ,2025-05-01,800000084194,8851959139714,ນໍ້າທິບກາງ 550ມລ,009,ເຄື່ອງດື່ມ,-64.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,"ຊນ,ອັນ",2500.0,-165000.0,-,-
9,CP Fresh Shop ດອນໜູນ,2025-05-01,800000234450,04292025,ສະໂພກໄກ່ຖົງ2kg,007,ອາຫານແຊ່ແຂງ,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,"ຊນ,ອັນ",102334.0,1739678.0,-,-
10,CP Fresh Shop ດອນໜູນ,2025-05-01,800000155537,6974343132305,ໄສ້ກອກລົດໄຟ700g,007,ອາຫານແຊ່ແຂງ,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"ຊນ,ອັນ",46000.0,1104000.0,-,-
