รหัสสินค้า,ชื่อสินค้า
800000084498,ແຈ່ວເສສວນງົວຫອມ150ກຮາມ
800000101917,ຮອດອກPPເຫລືອງໄກ່
800000107050,ລູກຊີ້ນປາແຫຼມ
2255121539,ໄສ້ຕັນໝູພັນອານາໄມ FREEZE 1000 ກຣາມ
800000127896,ມິລິນດາຂຽວ1225ml
8250L220400G26301,ກຸ້ງປອກເປືອກຜ່າຈົງຫາງ (26/30) 500g
800000084284,ກະແລ້ມເຜືອກ
800000123523,ລູກຊີ້ນປາມຶກTVT500g
800000130237,ປູອັດເບັນໂຕະ 500g
2210440046,ປີກເຕັມໄກ່ເນື້ອອານາໄມ
2220352100,ໄຂ່ໄກ່ແພັກ 10 ຟອງ-ເບີ 0
800000084158,ຍອດອ່ອນຕາວັນ
800000142611,ເຕົ້າ​ຫູ້​ປາTVI 500g
2255121614,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WF(TS) 500 ກຣາມ
2255120445,ນ້ຳມັນຫມູແພັກແບນ 1000g
2255121206,ສັນໃນໝູ 
2255121209,ຊິ້ນບ່າໄຫລ່ໝູ (ຊິ້ນຂາໜ້າ)
2255121282,ກະດູກໃບພາຍ
800000103970,ຄະນໍໄກ່ກ້ອນ 20ກກ
800000237427,ເສັ້ນບູດົງ200g
800000122558,ຍອດຜັກຫົມອອ່ນ
800000123313,ມິລິນດາແດງສະຕໍເບີລີ1225ml
2220354302,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 2
2255121360,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WRAP FREEZE 500 ກຣາມ
11008934,ເຕົາຫູ້ໄຂ່ ເກດ A
800000126128,ຄອນເນ່ຖົງ48g
800000084374,ເທດໂຕ້ລົດສະລາຍຖົງ42g
800000103177,ປາ​ກະ​ປ່ອງສາມ​ແມ່​ຄົວ93g
800000103650,ເຈ້ຍສິດຊູວິລາເປັນອັນ
800000084523,ລ້ອນສາຍຝົນ 70ກຼາມ
800000084527,ໝີ່ໄວໄວຊ່ອງ ລົດດັ້ງເດີມ
800000084194,ນໍ້າທິບກາງ 550ມລ
800000084409,ຄະນໍກ້ອນລົດໝູ
800000086217,ແຈ່ວເສສວນຍົກໂປ້150g
800000103166,ເສັ້ນມັນດ້າງແດງ240g
800000122702,ເຕົາຮູ້ແຜ່ນ
800000084456,ພິກໄທປົ່ນ ຈັນທະບູລີ30ກຼາມ
800000102119,ເຫັດເຂັມຖົງຂຽວ
800000084408,ຄະນໍກ້ອນ ຕົ້ມຍຳ
800000084526,ສາຫຼ່າຍດຳ FUTAL
800000103674,ຄະນໍລົດໝູຖົງ17g
800000084343,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ
800000084293,ປູອັດTVI 250ກຼາມ
800000107248,ປາກະປ໋ອງແປ 125ກ
800000122680,ຜົ້ງ​ປີງ​ຈີນ100g
800000151045,ເຫັດຫອມ100g
800000103163,ເສັ້ນມັນດ້າງຈຸ່ມເສັ້ນແປ250g
2255120382,ຫມູປີ້ງ 10ໄມ້  550g
800000147726,ແປ້ງນົວກາຖ້ວຍ 250g
800000106975,SunValleyນັກເກັດໄກ່ 1kg
800000084369,pfpເຕົ້າຫູ້ປາລູກເຕົາ 500g
800000199229,ກາໂຕະລົດສະຕໍເບີລີ320ml
800000101352,PFP ເຕົ້າຮູ້ຊີດ500g
800000084459,ຟ້າໄທນໍ້າໃສ 350ມລ
800000084320,ກະປິຫມາກນາວ 200ກຼາມ
800000122561,ເສັ້ນເສສວນມັດ500g
800000084310,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່)
800000107977,AROເນື້ອປາດໍລີ້ສະໄລ່
800000101892,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ)
800000084234,ຫົວກະທຽມ500g
800000101360,ປູອັດTVI500g
800000084503,ແປ້ງນົວ250ກຮາມ
800000109612,ເກັກຮວຍປ່ອງແດງ
800000143078,Mfoodແຈ່ວຊີຟູດ
800000084219,NVນົມສະໄລ້A300ກຼາມ
800000084418,ຊອດຫອຍແມ່ຄົວ 150 ມລ
2255120402,ໝູນຸ້ມໝັກພິກໄທດຳ 500g
800000155537,ໄສ້ກອກລົດໄຟ700g
800000212436,ລົດດີຜົງລົດໝູ70g
26020202,ໄກ່ຈໍ້ 500 ກັມ
800000084247,ຜັກບົ້ງ 300ກຼາມ
800000101381,NVເສືອຮ້ອງໄຫ້ແພັກສະໄລ 300g
2255121615,ຊີ້ນສັນຄໍໝູສະໄລ້ WF(TS) 500 ກຣາມ
800000147713,ປາເສັ້ນຈັບໂບ້ລົດບາບິຄິວ
800000084398,ປາໄຂ່ 500 ກຼາມ
2255120443,ລູກຊີ້ນເອັນ 500g
2255121487,ສັນຄໍໝູສະໄລ້ WARP FREEZE 250 ກຣາມ
800000190860,ມັນຝຮັ່ງຫຍັກເອັກຕ້າ1kg
800000107241,Orchid ນ້ຳ​ມັນ​ຫວຽດ 2L
800000084537,ເຫັດຫິມະ 200g
2255121205,ສັນນອກໝູ
800000107280,ນ້ຳຕານແດງ1kg
800000234450,ສະໂພກໄກ່ຖົງ2kg
23003925,ນັກເກັດດາວ 300g
800000252212,ເອິກເປັດລົມຄວນ1kg
800000103617,ຜັກກາດຂາວ
2255121521,ຕີນໝູຕັດ
2220354303,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3
800000161550,ປີກບົນຖົງໃສ2kg
800000158665,ເອິກເປັດ
800000101374,ເນີຍຈີດຕາແດນນີ່1/2ປອນ
800000130237,ປູອັດເບັນໂຕະ 500g
2255120346,ຫມູທອດ 1000g
2255120338,ຫມູຍໍ່ຫນັງ A 500 g
