ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
22,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121207,9921207,ຊິ້ນໝູສາມຊັ້ນ,003,ຊີ້ນສົດ,54.9,0.0,15.388,0,0,0.0,0.0,0,0,39.51,ກິໂລກຣາມ,92000,3634920.0,-,-
23,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121489,8562551214890,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ,006,ຊີ້ນແພກແບຣນ,41.0,0.0,4.0,0,0,0.0,0.0,0,0,37.0,ແພັກ,33250,1230250.0,-,-
24,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084320,8852375210117,ກະປິຫມາກນາວ 200ກຼາມ,012,ອາຫານສຳເລັດຮູບ,36.0,0.0,1.0,0,0,0.0,0.0,0,0,35.0,"ຊນ,ອັນ",17067,597345.0,-,-
25,CP Fresh Shop ດອນໜູນ,01/06/2025,800000247064,8859156399962,ແຈ່ວຄຸນນັດ250g,801,ນໍ້າແຈ່ວ,36.0,0.0,1.0,0,0,0.0,0.0,0,0,35.0,"ຊນ,ອັນ",10625,371875.0,-,-
26,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101892,774754335558288,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ),801,ນໍ້າແຈ່ວ,37.0,0.0,3.0,0,0,0.0,0.0,0,0,34.0,"ຊນ,ອັນ",15000,510000.0,-,-
27,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084219,20210008,NVນົມສະໄລ້A300ກຼາມ,007,ອາຫານແຊ່ແຂງ,16.0,20.0,3.0,0,0,0.0,0.0,0,0,33.0,"ຊນ,ອັນ",31500,1039500.0,-,-
28,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121615,8562551216153,ຊີ້ນສັນຄໍໝູສະໄລ້ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,44.0,0.0,11.0,0,0,0.0,0.0,0,0,33.0,ແພັກ,54000,1782000.0,-,-
29,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101497,8850016635671,ປູອັດເບັນໂຕະ 250ກຮາມ,007,ອາຫານແຊ່ແຂງ,33.0,0.0,1.0,0,0,0.0,0.0,0,0,32.0,"ຊນ,ອັນ",24500,784000.0,-,-
30,CP Fresh Shop ດອນໜູນ,01/06/2025,800000143078,1234657468886,Mfoodແຈ່ວຊີຟູດ,801,ນໍ້າແຈ່ວ,33.0,0.0,1.0,0,0,0.0,0.0,0,0,32.0,"ຊນ,ອັນ",17000,544000.0,-,-
31,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121205,9921205,ສັນນອກໝູ,003,ຊີ້ນສົດ,35.17,0.0,3.698,0,0,0.0,0.0,0,0,31.475,ກິໂລກຣາມ,90000,2832750.0,-,-
32,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101360,8850016075002,ປູອັດTVI500g,007,ອາຫານແຊ່ແຂງ,32.0,0.0,1.0,0,0,0.0,0.0,0,0,31.0,"ຊນ,ອັນ",44200,1370200.0,-,-
33,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121521,9921521,ຕີນໝູຕັດ,003,ຊີ້ນສົດ,34.81,0.0,4.595,0,0,0.0,0.0,0,0,30.215,ກິໂລກຣາມ,48000,1450320.0,-,-
34,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084503,8850464000267,ແປ້ງນົວ250ກຮາມ,010,ເຄື່ອງປຸງ,32.0,0.0,2.0,0,0,0.0,0.0,0,0,30.0,"ຊນ,ອັນ",14577,437310.0,-,-
35,CP Fresh Shop ດອນໜູນ,01/06/2025,800000109612,6956367338680,ເກັກຮວຍປ່ອງແດງ,009,ເຄື່ອງດື່ມ,31.0,0.0,1.0,0,0,0.0,0.0,0,0,30.0,"ຊນ,ອັນ",9167,275010.0,-,-
36,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084247,25667751,ຜັກບົ້ງ 300ກຼາມ,002,ຜັກປອດສານພິດ,7.0,26.0,5.0,0,0,0.0,0.0,0,0,28.0,"ຊນ,ອັນ",3462,96936.0,-,-
37,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101381,20210009,NVເສືອຮ້ອງໄຫ້ແພັກສະໄລ 300g,007,ອາຫານແຊ່ແຂງ,22.0,10.0,4.0,0,0,0.0,0.0,0,0,28.0,"ຊນ,ອັນ",46500,1302000.0,-,-
38,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084418,8850038400011,ຊອດຫອຍແມ່ຄົວ 150 ມລ,010,ເຄື່ອງປຸງ,29.0,0.0,1.0,0,0,0.0,0.0,0,0,28.0,"ຊນ,ອັນ",14513,406364.0,-,-
39,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084193,8851959643716,"ນໍ້າທິບ ແພັກໃຫຍ່ 1,5L",009,ເຄື່ອງດື່ມ,29.0,0.0,2.0,0,0,0.0,0.0,0,0,27.0,"ຊນ,ອັນ",27000,729000.0,-,-
40,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120402,8858984833075,ໝູນຸ້ມໝັກພິກໄທດຳ 500g,006,ຊີ້ນແພກແບຣນ,28.0,0.0,1.0,0,0,0.0,0.0,0,0,27.0,ແພັກ,34001,918027.0,-,-
